INFO 2025-06-14 11:26:22,440 views 15548 20616 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:26:22,904 views 15548 20616 Уведомление о файле 'uploads/test_file_t6xXw3c.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:26:22,904 views 15548 20616 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_t6xXw3c.txt' через API.
INFO 2025-06-14 11:26:22,907 views 15548 20616 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:26:22,910 views 15548 20616 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:26:22,916 views 15548 20616 API: Уведомление о замене файла 'uploads/test_file_t6xXw3c.txt' на 'uploads/updated_test_file_AKigVgo.txt' успешно отправлено.
INFO 2025-06-14 11:26:23,369 views 15548 20616 Уведомление о файле 'uploads/test_file_SxaCZQs.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:26:23,369 views 15548 20616 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_SxaCZQs.txt' через API.
INFO 2025-06-14 11:26:23,371 views 15548 20616 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:26:23,374 views 15548 20616 API: Уведомление об удалении файла 'uploads/test_file_SxaCZQs.txt' успешно отправлено.
INFO 2025-06-14 11:26:23,822 views 15548 20616 Уведомление о файле 'uploads/dummy_SHPXweJ.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:26:24,770 views 15548 20616 Отчет на почту test@example.com успешно отправлен пользователем testadmin.
INFO 2025-06-14 11:28:01,142 views 16792 1648 Уведомление о файле 'uploads/test_file_ZQG9Ce3.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:28:01,143 views 16792 1648 Пользователь testadmin успешно загрузил файл 'uploads/test_file_ZQG9Ce3.txt'.
INFO 2025-06-14 11:28:01,570 views 16792 1648 API: Пользователь testadmin запрашивает список файлов через API.
INFO 2025-06-14 11:28:02,004 views 16792 1648 Уведомление о файле 'uploads/test_file_UqWZgWr.txt' (создан) успешно отправлено.
INFO 2025-06-14 11:28:02,004 views 16792 1648 API: Пользователь testadmin успешно загрузил файл 'uploads/test_file_UqWZgWr.txt' через API.
INFO 2025-06-14 11:28:02,441 views 16792 1648 Уведомление о файле 'uploads/test_file_0cuHz7h.txt' (создан) успешно отправлено.
